"Model.Year","Eng.Displacement","No.Cylinders","Aspiration","No.Gears","Lockup.Torque.Converter","Drive.Sys","Max.Ethanol","Fuel.Type"
2017,1.5,4,"N",6,"N","F",10,"G"
2017,1.8,4,"N",1,"Y","F",10,"G"
2017,1.6,4,"TC",7,"Y","F",10,"GP"
2017,1.6,4,"TC",7,"Y","A",10,"GP"
2017,2,4,"N",7,"Y","A",10,"G"
2017,2,4,"TC",8,"Y","A",10,"G"
2017,3,6,"TC",9,"Y","4",10,"GPR"
2017,2,4,"TC",7,"Y","F",10,"GPR"
2017,4,6,"N",5,"Y","R",85,"G"
2017,3.5,6,"N",6,"Y","R",15,"G"
2017,4,6,"N",5,"Y","P",10,"G"
2017,3.5,6,"N",6,"N","P",15,"G"
2017,6.2,8,"N",8,"Y","R",10,"G"
2017,4.3,6,"N",6,"Y","R",85,"G"
2017,5.7,8,"N",6,"Y","R",85,"G"
2017,5.3,8,"N",6,"Y","4",85,"G"
2017,5.3,8,"N",8,"Y","4",10,"G"
2017,2.7,6,"TC",6,"Y","P",15,"G"
2017,3.5,6,"TC",10,"Y","P",15,"G"
2017,3.5,6,"TC",10,"Y","P",15,"G"
2017,6.2,8,"N",8,"Y","4",10,"G"
2017,3.6,6,"N",8,"Y","4",85,"G"
2017,5,8,"SC",6,"Y","4",10,"GPR"
2017,3.6,6,"N",6,"Y","F",10,"G"
2017,3.3,6,"N",6,"Y","F",10,"G"
2017,1.4,4,"TC",6,"Y","F",10,"G"
2017,2,4,"TC",6,"Y","F",15,"G"
2017,1.6,4,"TC",7,"N","F",15,"G"
2017,2.7,6,"TC",6,"Y","F",15,"G"
2017,2.4,4,"N",6,"Y","F",10,"G"
2017,2.4,4,"N",6,"Y","F",10,"G"
2017,2.5,4,"N",6,"Y","F",15,"G"
2017,2,4,"TC",8,"Y","A",10,"GP"
2017,1.4,4,"TC",6,"Y","A",10,"G"
2017,1.4,4,"TC",6,"Y","A",10,"G"
2017,2.4,4,"N",6,"Y","A",10,"G"
2017,2,4,"TC",6,"Y","A",15,"G"
2017,2,4,"TC",6,"Y","A",15,"G"
2017,3.2,6,"N",9,"Y","4",10,"GM"
2017,2.4,4,"N",6,"N","A",10,"G"
2017,3.6,6,"N",5,"Y","4",10,"G"
2017,3.6,6,"N",5,"Y","4",10,"G"
2017,3.6,6,"N",6,"N","4",10,"G"
2017,2.4,4,"N",6,"Y","A",15,"G"
2017,2,4,"TC",6,"Y","A",15,"G"
2017,2.5,4,"TC",6,"Y","4",10,"G"
2017,3,6,"TC",9,"Y","4",10,"GPR"
2017,2,4,"TC",9,"Y","4",10,"GPR"
2017,3,6,"N",6,"Y","4",10,"GP"
2017,2,4,"N",6,"Y","4",10,"G"
2017,3,6,"TC",7,"N","A",10,"GPR"
2017,3.6,6,"N",6,"Y","A",10,"G"
2017,2,4,"TS",8,"Y","A",10,"GPR"
2017,3,6,"TC",8,"Y","R",10,"GP"
2017,3,6,"TC",8,"Y","R",10,"GP"
2017,3.6,6,"N",6,"Y","F",10,"G"
2017,3.5,6,"TC",6,"Y","R",15,"G"
2017,2.5,4,"SC",7,"Y","F",10,"G"
2017,5.6,8,"N",7,"Y","R",10,"GP"
2017,6.2,8,"N",8,"Y","4",10,"G"
2017,3.5,6,"N",6,"Y","A",85,"G"
2017,3,6,"SC",8,"Y","4",15,"GP"
2017,4.6,8,"N",6,"Y","4",15,"GPR"
2017,3.5,6,"TC",6,"Y","A",15,"G"
2017,3.5,6,"TC",6,"Y","P",15,"G"
2017,6,12,"TC",7,"Y","4",10,"GPR"
2017,5.5,8,"TC",7,"Y","4",10,"GPR"
2017,3.5,6,"N",8,"Y","A",15,"G"
2017,3.6,6,"N",8,"Y","A",15,"G"
2017,3.5,6,"TC",6,"Y","A",15,"G"
2017,2.5,4,"TC",7,"N","R",10,"GPR"
